publishedAt,authorDisplayName,textDisplay,likeCount,Type
2024-10-05T02:34:00Z,@AdhaniaAdhania-c1p,knpa gue dengerin lgu ini jd keinget pas hri papaku mninggal,0,Comment
2024-10-04T16:53:20Z,@RouzatulJannah-y3t,Aku juga manusia tapi kenapa mereka memperlakukan ku seperti itu.....,0,Comment
2024-10-04T09:10:05Z,@grr..571,waduh nangis aku siapa ni yang buat sedih bet,0,Comment
2024-10-03T09:50:15Z,@zafirashnd,"part tersedih ketika teman mu selalu kamu apresiasi meski kecil tapi kamu ga dapet feedback itu.<br><br>Tapi, Tuhan tak terlelap, selalu tahu apa yang dibutuhkan hambanya. Kini, aku bertemu teman yang selalu apresiasi aku meski hanya hal kecil. Aku berharap aku juga bisa apresiasi dia Seperti dia apresiasi aku ❤ sehat selalu.",2,Comment
2024-10-02T11:21:36Z,@anonim01tugas,"Andai gue masih memeluk lu selain merangkul, bakal gue obatin seluruh luka lu terima, gue tau lukanya tak kasat mata, gue tau lu butuh rumah lebih dari sekedar rumah. kalau gue boleh tau dan confess ke elu, gue selalu ada buat lu am, lu udah gue anggap rumah w sendiri. gue dan lu bukan lagi teman lagi, andai aja ada waktu yang pas buat bikin lo bikin bahagia bakal gue buat. tetapi am, w lagi berjuang juga untuk diri w, lalu keluarga w dan terakhir adalah buat lu, lu adalah segalanya bagi gue. <br><br>salam teman terbaik mu<br>fahrul",0,Comment
2024-10-01T20:13:38Z,@MatthewMiller-b5e,Allen William Smith Paul Rodriguez Michael,0,Comment
2024-10-01T17:12:43Z,@nurulnasution1729,"Pengen nya hidup seperti sekarang tapi keluarga kaya dulu😢,bapak masih hidup emak gak nikah lagi😊 nenek kakek masih hidup aman pasti nya hidup ini",0,Comment
2024-10-01T12:14:45Z,@nhudax,🥀,0,Comment
2024-10-01T11:04:51Z,@sitisaiba5090,"Kata nya mau berubah , eh malah menambah luka baru 😢",0,Comment
2024-10-01T06:54:35Z,@muhammadiqbalramdani7029,Lebih perih jika rumah bukan lagi tempat untuk ku pulang.,0,Comment
2024-09-30T14:28:02Z,@nurinurota641,yah hujan nya terlalu deras payung ku terlalu kecil,0,Comment
2024-09-30T12:42:25Z,@Kesi-m7m,"Sering di pukul, jadi trauma kalau ada yang deket deket😢",0,Comment
2024-09-30T10:49:02Z,@ardiansyaharya1358,ewe aku bang,0,Comment
2024-09-29T15:26:08Z,@isabelleclaudie1621,"hey, aku umur 12th aku mau cerita cerita aja disini hehe, many people say &#39;anak pertama yang paling capek&#39; but ga ada yang nengok jadi anak kedua perasaannya gimana ?, yes Krn aku anak kedua kdng juga gaenak rasanya juga capek lho.. nilaiku harus sama bandingnya kaya kakakku, it happened because kakakku pinter bngt, mtk aja dapet 100 sedangkan aku ? Nilai MTK aja dapet 28.. it&#39;s heavy.. apalagi kalo lagi kumpul2 keluarga pasti pada bahas nilai, disaat itu aku agak menjauh.. I have tried my best, but.. ?? Sama aja hasilnya.",0,Comment
2024-09-29T15:19:24Z,@isesat2611,<b>kembali pulang sahabat ku yg terbaik yg suka di manja yg bikin ketawain yg lucu yg cantik kapan ya kita ketemu soalnya kamu pindah 🙃</b>,0,Comment
2024-09-28T19:41:07Z,@rifkisaputra6525,Maaf aku gagal.....,0,Comment
2024-09-28T13:22:11Z,@Gojomyhusband1,Skibidi,0,Comment
2024-09-30T14:35:31Z,@lilleyyy33,buset gen alpha,0,Reply
2024-09-28T09:49:49Z,@Leaa_005,&quot;kembali pulang&quot;<br>maaf uda ga bisa anak brokenhome bisa apa,1,Comment
2024-09-28T08:59:35Z,@LauraAmelia-o6v,"<b>yang diharapkan, selalu tidak sesuai dengan kenyataan</b>",0,Comment
2024-09-28T08:59:01Z,@LauraAmelia-o6v,di bikin trauma sama cwo sndiri yg ngakunya gabakal ninggalin itu sakit,0,Comment
2024-09-27T18:02:16Z,@ZYROZURA,&quot;hancur keluarga hancur harapan untuk bangkit&quot;,0,Comment
2024-09-27T17:25:01Z,@febbybyy5529,.... :v,0,Comment
2024-09-27T13:08:16Z,@sudarmadji6044,"Setelah Home Sweet Loan, anyone?",0,Comment
2024-09-27T11:05:33Z,@ENHYPEN_ENGENE-c1b,"liat temen enak bgt hidupnya, ternyata setelah mengetahui ceritanya... aku masih bersyukur telah dikasih hidup yang cukup",0,Comment
2024-09-27T09:18:12Z,@nanay-f9z,"Di usia ku yang belasan sudah merasakan menjadi anak broken home, bahkan anak kecil ini sekarang mempunyai 4 ibu, tolong aku harus pulang kemana!??",0,Comment
2024-09-26T23:20:39Z,@GaniSDA-vk3kv,Dibuat ga nyaman sama keluarga ga enak,0,Comment
2024-09-26T17:53:39Z,@amaama8038,pengen balik kerumah dan pelik mama ❤,0,Comment
2024-09-26T14:16:13Z,@KyladevitaTogassukarno,kalo kita masih nerima orang yang udh pernah berhubungan sama mantan nya tu gimna ya?,0,Comment
